original_title,title,release_date,budget,revenue,popularity,vote_average,vote_count
The Soloist,The Soloist,2009-04-24,60000000,31720158,17.299332999999997,6.6,234
The Legend of Bagger Vance,The Legend of Bagger Vance,2000-11-02,80000000,39459427,16.848899,6.3,251
Almost Famous,Almost Famous,2000-09-15,60000000,47383689,21.547446,7.4,797
xXx: State of the Union,xXx: State of the Union,2005-04-27,60000000,71073932,36.689223,4.7,549
Priest,Priest,2011-05-05,60000000,78309131,28.350927000000002,5.4,692
Sinbad: Legend of the Seven Seas,Sinbad: Legend of the Seven Seas,2003-07-02,60000000,26288320,18.815442,6.6,372
Event Horizon,Event Horizon,1997-08-15,60000000,26673242,29.787135,6.5,742
Dragonfly,Dragonfly,2002-02-22,60000000,52322400,8.927137,6.1,204
The Black Dahlia,The Black Dahlia,2006-09-15,50000000,49111202,15.213484,5.7,287
Flyboys,Flyboys,2006-09-22,60000000,17800000,13.155999,6.3,271
The Last Castle,The Last Castle,2001-10-19,72000000,27642707,15.433244,7.0,285
Supernova,Supernova,2000-01-14,90000000,14828081,5.762037,4.9,109
Winter's Tale,Winter's Tale,2014-02-13,60000000,30800231,22.736038,6.0,487
The Mortal Instruments: City of Bones,The Mortal Instruments: City of Bones,2013-08-21,60000000,90565421,45.514031,6.2,1602
Meet Dave,Meet Dave,2008-07-08,60000000,50650079,18.676291,5.0,371
Dark Water,Dark Water,2005-06-27,30000000,25473093,14.376463000000001,5.3,274
Inkheart,Inkheart,2008-12-11,60000000,57490374,27.018886,6.0,592
The Spirit,The Spirit,2008-12-25,60000000,39031337,14.84856,4.7,320
Mortdecai,Mortdecai,2015-01-21,60000000,30418560,52.417528999999995,5.4,1055
西游记之孙悟空三打白骨精,The Monkey King 2,2016-01-22,68490000,193677158,4.7262900000000005,6.0,24
The Great Raid,The Great Raid,2005-08-12,80000000,10166502,8.923214999999999,6.8,91
Deadpool,Deadpool,2016-02-09,58000000,783112979,514.5699559999999,7.4,10995
American Sniper,American Sniper,2014-12-11,58800000,542307423,87.53437,7.4,4469
Goosebumps,Goosebumps,2015-08-05,58000000,158162788,45.351617,6.2,995
Just Like Heaven,Just Like Heaven,2005-09-16,58000000,102854431,13.43573,6.5,579
The Flintstones in Viva Rock Vegas,The Flintstones in Viva Rock Vegas,2000-04-28,83000000,59468275,6.248309,4.4,134
Rambo III,Rambo III,1988-05-24,63000000,189015611,31.294717,5.7,690
Leatherheads,Leatherheads,2008-03-24,58000000,41299492,7.739275999999999,5.7,130
Did You Hear About the Morgans?,Did You Hear About the Morgans?,2009-12-17,58000000,85280250,14.403696,5.1,276
The Internship,The Internship,2013-06-07,58000000,44000000,1.551497,6.1,1658
Resident Evil: Afterlife,Resident Evil: Afterlife,2010-09-09,60000000,300228084,2.143764,5.8,1363
Red Tails,Red Tails,2012-01-19,58000000,50365377,12.29603,5.9,178
The Devil's Advocate,The Devil's Advocate,1997-10-17,57000000,152944660,33.8473,7.2,1374
That's My Boy,That's My Boy,2012-06-14,70000000,58058367,21.723897,5.5,453
DragonHeart,DragonHeart,1996-05-31,57000000,115267375,31.791978999999998,6.4,535
After the Sunset,After the Sunset,2004-11-12,60000000,61347797,14.113066,6.0,226
Ghost Rider: Spirit of Vengeance,Ghost Rider: Spirit of Vengeance,2011-12-10,57000000,149217355,48.622278,4.7,1135
Captain Corelli's Mandolin,Captain Corelli's Mandolin,2001-08-17,57000000,62112895,9.061866,5.5,145
The Pacifier,The Pacifier,2005-03-04,56000000,113006880,35.4763,5.8,842
Walking Tall,Walking Tall,2004-04-02,56000000,57223890,23.438398,6.0,381
Forrest Gump,Forrest Gump,1994-07-06,55000000,677945399,138.133331,8.2,7927
Alvin and the Chipmunks,Alvin and the Chipmunks,2007-12-13,60000000,361366633,47.336034000000005,5.5,1177
Meet the Parents,Meet the Parents,2000-10-06,55000000,330444045,29.972240000000003,6.6,1698
Pocahontas,Pocahontas,1995-06-14,55000000,346079773,47.845589000000004,6.7,1457
Superman,Superman,1978-12-13,55000000,300218018,48.507081,6.9,1022
The Nutty Professor,The Nutty Professor,1996-06-26,54000000,128769345,20.28119,5.4,702
Hitch,Hitch,2005-02-10,70000000,368100420,34.576913,6.4,1665
American Wedding,American Wedding,2003-08-01,55000000,231449203,36.194802,6.0,1129
Captain Phillips,Captain Phillips,2013-10-10,55000000,95000000,52.786917,7.6,2454
Date Night,Date Night,2010-04-08,55000000,152263880,38.061679999999996,5.9,1122
Casper,Casper,1995-05-26,50000000,287928194,19.830132,6.0,1019
The Equalizer,The Equalizer,2014-09-24,55000000,192330738,79.92205899999999,7.1,2954
Maid in Manhattan,Maid in Manhattan,2002-12-13,55000000,154906693,19.738215,5.6,485
Crimson Tide,Crimson Tide,1995-05-12,53000000,157387195,20.334629,7.0,498
The Pursuit of Happyness,The Pursuit of Happyness,2006-12-14,55000000,307077295,80.581367,7.7,2525
Flightplan,Flightplan,2005-09-22,55000000,223387299,32.05145,6.1,772
Disclosure,Disclosure,1994-12-09,55000000,214015089,15.064058,5.9,210
City of Angels,City of Angels,1998-04-10,55000000,198685114,21.272734,6.4,529
Kill Bill: Vol. 1,Kill Bill: Vol. 1,2003-10-10,30000000,180949000,79.75496600000001,7.7,4949
Kill Bill: Vol. 2,Kill Bill: Vol. 2,2004-04-16,30000000,152159461,50.622607,7.6,3948
Tango & Cash,Tango & Cash,1989-12-22,55000000,63408614,22.787667000000003,6.1,458
Death Becomes Her,Death Becomes Her,1992-07-30,55000000,149022650,29.498303999999997,6.3,636
Shanghai Noon,Shanghai Noon,2000-05-26,55000000,56932305,25.400935,6.2,735
Executive Decision,Executive Decision,1996-03-15,55000000,121969216,17.231675,5.8,256
Mr. Popper's Penguins,Mr. Popper's Penguins,2011-06-17,55000000,187361754,32.835777,5.7,751
The Forbidden Kingdom,The Forbidden Kingdom,2008-04-18,55000000,127906624,17.097041,6.3,461
Free Birds,Free Birds,2013-10-30,55000000,110000000,14.414937,5.7,254
Alien³,Alien³,1992-05-22,50000000,159773545,45.856409,6.2,1633
Evita,Evita,1996-12-14,55000000,141047179,7.027139,5.9,120
Ronin,Ronin,1998-09-25,55000000,41610884,32.657488,6.7,658
The Ghost and the Darkness,The Ghost and the Darkness,1996-10-11,50000000,75000000,12.46525,6.4,236
Paddington,Paddington,2014-11-27,55000000,259207227,39.882276,7.0,883
The Watch,The Watch,2012-07-26,68000000,68267862,39.395881,5.3,881
The Hunted,The Hunted,2003-03-11,55000000,34234008,8.634953999999999,6.0,189
Stuck on You,Stuck on You,2003-12-10,55000000,33828318,8.802525,5.1,188
The Pirates! In an Adventure with Scientists!,The Pirates! In an Adventure with Scientists!,2012-03-12,60000000,118338361,23.700758999999998,6.4,374
Changeling,Changeling,2008-01-30,55000000,113020255,27.509159999999998,7.3,1131
Chain Reaction,Chain Reaction,1996-08-02,50000000,60209334,20.588620000000002,5.3,284
The Fan,The Fan,1996-08-15,55000000,18626419,4.3664879999999995,5.7,194
The Phantom of the Opera,The Phantom of the Opera,2004-12-08,70000000,154648887,18.927463,7.0,438
Elizabeth: The Golden Age,Elizabeth: The Golden Age,2007-09-09,55000000,74237563,15.274137,6.6,303
Æon Flux,Æon Flux,2005-11-30,62000000,52304001,29.954302000000002,5.4,703
Gods and Generals,Gods and Generals,2003-02-21,56000000,12923936,4.362535,6.1,48
Turbulence,Turbulence,1997-01-09,55000000,11466088,4.700024,5.2,62
Muppets Most Wanted,Muppets Most Wanted,2014-03-20,50000000,80383290,14.808304000000001,6.2,316
Thunderbirds,Thunderbirds,2004-07-23,57000000,28283637,9.27875,4.2,91
Burlesque,Burlesque,2010-11-23,55000000,89519773,22.863516,6.9,573
Lolita,Lolita,1962-06-13,2000000,9250000,23.962108999999998,7.3,395
D-Tox,D-Tox,2002-01-04,55000000,6416302,12.669777999999999,5.3,123
Blade II,Blade II,2002-03-22,54000000,155010032,67.16958699999999,6.2,1528
Seven Pounds,Seven Pounds,2008-12-18,55000000,168167691,41.472404,7.5,2039
Bullet to the Head,Bullet to the Head,2013-01-31,55000000,9489829,22.503935000000002,5.2,481
The Godfather: Part III,The Godfather: Part III,1990-12-24,54000000,136766062,59.194915,7.1,1546
Elizabethtown,Elizabethtown,2005-10-06,57000000,52034889,22.894898,6.1,327
"You, Me and Dupree","You, Me and Dupree",2006-07-14,54000000,130431368,18.600367000000002,5.4,407
Superman II,Superman II,1980-12-04,54000000,190458706,30.515175,6.5,629
Gigli,Gigli,2003-08-01,54000000,7266209,9.053456,3.5,104
All the King's Men,All the King's Men,2006-09-10,55000000,9450897,7.768223,5.7,95
Shaft,Shaft,2000-06-15,46000000,107196498,19.643365,5.5,308
Anastasia,Anastasia,1997-11-20,53000000,139804348,45.565917999999996,7.4,1432
Moulin Rouge!,Moulin Rouge!,2001-03-09,52500000,179213434,57.374341,7.4,1300
Domestic Disturbance,Domestic Disturbance,2001-10-30,75000000,54249294,8.418560000000001,5.4,113
Black Mass,Black Mass,2015-09-04,53000000,98837872,46.049902,6.3,1242
Flags of Our Fathers,Flags of Our Fathers,2006-10-18,90000000,65900249,23.9366,6.7,526
Law Abiding Citizen,Law Abiding Citizen,2009-10-15,53000000,126690726,49.593978,7.2,1486
Grindhouse,Grindhouse,2007-04-06,67000000,25037897,16.637642,6.8,459
Catch Me If You Can,Catch Me If You Can,2002-12-25,52000000,352114312,73.94404899999999,7.7,3795
Zero Dark Thirty,Zero Dark Thirty,2012-12-19,40000000,132820716,38.306954,6.7,1702
The Break-Up,The Break-Up,2006-06-01,52000000,204999686,26.251216999999997,5.6,832
Mamma Mia!,Mamma Mia!,2008-07-03,52000000,609841637,30.780599,6.4,1386
Valentine's Day,Valentine's Day,2010-02-10,52000000,216485654,25.41929,5.7,1013
The Dukes of Hazzard,The Dukes of Hazzard,2005-08-05,50000000,110803676,15.982120000000002,5.1,316
The Thin Red Line,The Thin Red Line,1998-12-25,52000000,98126565,40.072583,7.2,771
The Change-Up,The Change-Up,2011-08-05,52000000,75450437,32.015477000000004,5.9,736
Man on the Moon,Man on the Moon,1999-12-22,82000000,47434430,24.444186,6.9,435
Casino,Casino,1995-11-22,52000000,116112375,40.06688,7.8,1307
From Paris with Love,From Paris with Love,2010-02-05,52000000,52826594,27.916284,6.1,675
"Me, Myself & Irene","Me, Myself & Irene",2000-06-22,51000000,149270999,39.001682,6.1,927
Barnyard,Barnyard,2006-08-04,51000000,72779000,10.430832,5.3,225
The Twilight Saga: New Moon,The Twilight Saga: New Moon,2009-03-15,50000000,709827462,94.815867,5.6,2436
Shrek,Shrek,2001-05-16,60000000,484409218,67.298732,7.3,4056
The Adjustment Bureau,The Adjustment Bureau,2011-03-03,50200000,127869379,26.60772,6.5,1652
Robin Hood: Prince of Thieves,Robin Hood: Prince of Thieves,1991-06-14,48000000,390493908,28.803728999999997,6.6,909
Jerry Maguire,Jerry Maguire,1996-12-06,50000000,273552592,27.039635999999998,6.7,913
Ted,Ted,2012-06-29,50000000,549368315,68.87691,6.3,4697
As Good as It Gets,As Good as It Gets,1997-12-19,50000000,314178011,37.885022,7.2,915
Patch Adams,Patch Adams,1998-12-25,50000000,202292902,35.537397,7.0,832
Anchorman 2: The Legend Continues,Anchorman 2: The Legend Continues,2013-12-18,50000000,173649015,38.125008,6.0,923
Mr. Deeds,Mr. Deeds,2002-06-28,50000000,171269535,18.121404000000002,5.6,644
Super 8,Super 8,2011-06-08,50000000,260095987,37.069253,6.6,2435
Erin Brockovich,Erin Brockovich,2000-03-17,52000000,256271286,30.347332,7.1,716
How to Lose a Guy in 10 Days,How to Lose a Guy in 10 Days,2003-02-07,50000000,177371441,23.854701000000002,6.3,850
22 Jump Street,22 Jump Street,2014-06-05,50000000,188441614,52.380982,7.0,3319
Interview with the Vampire,Interview with the Vampire,1994-11-11,60000000,223664608,50.163785,7.2,1516
Yes Man,Yes Man,2008-12-09,70000000,225990978,43.849351,6.4,1813
Central Intelligence,Central Intelligence,2016-06-15,50000000,216972543,45.318703,6.2,1650
Daddy's Home,Daddy's Home,2015-12-25,50000000,242786137,38.616744,5.8,854
Into the Woods,Into the Woods,2014-12-25,50000000,212902372,65.90160999999999,5.6,1652
Inside Man,Inside Man,2006-03-23,45000000,184376254,45.220386,7.3,1630
Payback,Payback,1999-02-05,90000000,161626121,17.457947,6.7,548
Congo,Congo,1995-06-09,50000000,152022101,10.755847,5.0,213
We Bought a Zoo,We Bought a Zoo,2011-12-22,50000000,120081841,38.629763,6.5,909
Knowing,Knowing,2009-03-19,50000000,155446362,32.693093,5.9,1486
Failure to Launch,Failure to Launch,2006-03-10,50000000,88715192,18.806031,5.5,399
The Ring Two,The Ring Two,2005-03-17,50000000,161451538,32.233713,5.4,632
"Crazy, Stupid, Love.","Crazy, Stupid, Love.",2011-07-29,50000000,142851197,37.990705,7.0,2443
Garfield,Garfield,2004-06-10,50000000,200804534,17.667826,5.2,820
Moneyball,Moneyball,2011-09-22,50000000,110206216,46.180421,7.0,1381
Outbreak,Outbreak,1995-03-10,50000000,189859560,30.397496000000004,6.3,513
Non-Stop,Non-Stop,2014-01-26,50000000,222809600,83.295796,6.8,2268
Race to Witch Mountain,Race to Witch Mountain,2009-03-12,50000000,106303988,23.935053,5.5,509
V for Vendetta,V for Vendetta,2006-03-15,54000000,132511035,84.630969,7.7,4442
Shanghai Knights,Shanghai Knights,2003-02-06,50000000,88323487,16.251204,6.0,692
Curious George,Curious George,2006-02-10,50000000,69834815,9.894346,6.2,106
Herbie Fully Loaded,Herbie Fully Loaded,2005-06-22,50000000,66002004,12.050755,5.1,542
Don't Say a Word,Don't Say a Word,2001-09-28,50000000,100020092,11.596207000000001,6.0,220
Hansel & Gretel: Witch Hunters,Hansel & Gretel: Witch Hunters,2013-01-17,50000000,224803475,53.02786999999999,5.7,3239
Unfaithful,Unfaithful,2002-05-10,50000000,119137784,14.382253,6.3,276
I Am Number Four,I Am Number Four,2011-02-18,50000000,144492830,43.450266,5.9,1567
Syriana,Syriana,2005-11-23,50000000,94000000,16.871194,6.3,451
13 Hours: The Secret Soldiers of Benghazi,13 Hours: The Secret Soldiers of Benghazi,2016-01-13,50000000,69411370,42.526529,7.0,938
The Book of Life,The Book of Life,2014-10-01,50000000,97437106,34.890999,7.3,755
Firewall,Firewall,2006-02-10,45000000,82800000,18.186026000000002,5.6,267
Absolute Power,Absolute Power,1997-02-14,50000000,50068310,13.576765,6.4,223
G.I. Jane,G.I. Jane,1997-08-22,50000000,48169156,19.434672,6.0,395
The Game,The Game,1997-09-12,50000000,109423648,62.925175,7.5,1506
Silent Hill,Silent Hill,2006-04-21,50000000,97607453,32.927994,6.3,1067
American Reunion,American Reunion,2012-04-04,50000000,234989584,39.920035,6.1,1611
The Negotiator,The Negotiator,1998-07-29,50000000,44547681,28.725621000000004,6.8,582
Into the Storm,Into the Storm,2014-08-06,50000000,160602194,20.566554,5.8,817
Beverly Hills Cop III,Beverly Hills Cop III,1994-05-24,50000000,119208989,20.333953,5.5,434
Gremlins 2: The New Batch,Gremlins 2: The New Batch,1990-06-15,50000000,41482207,33.98637,6.2,652
The Judge,The Judge,2014-10-08,50000000,83719388,42.472324,7.2,1417
Resident Evil: Apocalypse,Resident Evil: Apocalypse,2004-09-10,45000000,129394835,29.880121999999997,6.1,1267
Bridget Jones: The Edge of Reason,Bridget Jones: The Edge of Reason,2004-11-10,50000000,40203020,28.803802,6.1,750
Out of Time,Out of Time,2003-10-03,50000000,55495563,14.993459,6.1,298
On Deadly Ground,On Deadly Ground,1994-02-18,50000000,49000000,9.114168,4.5,104
The Adventures of Sharkboy and Lavagirl,The Adventures of Sharkboy and Lavagirl,2005-06-10,50000000,69425966,12.311010000000001,4.4,269
The Beach,The Beach,2000-02-11,40000000,144056873,41.362082,6.3,1233
Raising Helen,Raising Helen,2004-05-27,50000000,49718611,13.298205,5.9,189
Ninja Assassin,Ninja Assassin,2009-09-29,40000000,60462347,19.085403,6.2,371
Striptease,Striptease,1996-06-28,50000000,113309743,11.106005999999999,4.4,205
Marmaduke,Marmaduke,2010-06-04,50000000,83761844,12.256219999999999,5.0,149
Hereafter,Hereafter,2010-10-15,50000000,105197635,13.365715,5.8,510
Murder by Numbers,Murder by Numbers,2002-04-19,50000000,56714147,16.167092999999998,6.0,268
Assassins,Assassins,1995-10-06,50000000,30303072,23.073933,6.0,387
Hannibal Rising,Hannibal Rising,2007-02-06,50000000,82169884,6.5670649999999995,6.0,654
The Story of Us,The Story of Us,1999-10-13,50000000,58900031,6.22577,5.9,75
The Host,The Host,2013-03-22,44000000,63327201,42.933027,6.0,1817
Basic,Basic,2003-04-18,50000000,42792561,19.226763000000002,6.2,286
Blood Work,Blood Work,2002-08-04,50000000,26199517,10.089065,6.1,206
The International,The International,2009-02-03,50000000,60161391,13.391832999999998,6.0,368
Escape from L.A.,Escape from L.A.,1996-08-09,50000000,42277365,21.637234,5.6,373
The Iron Giant,The Iron Giant,1999-08-06,70000000,23159305,61.245957,7.6,1436
The Life Aquatic with Steve Zissou,The Life Aquatic with Steve Zissou,2004-12-10,50000000,34808403,25.237969,7.1,775
Free State of Jones,Free State of Jones,2016-06-24,50000000,25035950,21.589392999999998,6.6,428
The Life of David Gale,The Life of David Gale,2003-02-21,50000000,38955598,22.442241,7.3,480
Run All Night,Run All Night,2015-03-11,50000000,71561644,74.64653,6.3,1148
Eastern Promises,Eastern Promises,2007-09-14,51500000,55112356,35.481169,7.2,848
Into the Blue,Into the Blue,2005-09-30,50000000,44434439,14.723467000000001,5.8,458
Joan of Arc,The Messenger: The Story of Joan of Arc,1999-10-18,60000000,66976317,21.084542000000003,6.2,367
Your Highness,Your Highness,2011-04-08,49900000,26121638,21.408222,5.2,501
Dream House,Dream House,2011-09-30,50000000,38502340,19.267479,5.8,391
Mad City,Mad City,1997-11-07,50000000,10541523,3.314004,5.9,81
Baby's Day Out,Baby's Day Out,1994-07-01,50000000,16671505,21.312185999999997,5.8,274
The Scarlet Letter,The Scarlet Letter,1995-10-13,50000000,10382407,7.44268,5.5,108
Fair Game,Fair Game,2010-05-20,22000000,24188922,12.549489999999999,6.5,235
Domino,Domino,2005-09-22,50000000,22944502,18.394571,6.0,444
Jade,Jade,1995-10-13,50000000,9851610,8.189406,5.2,44
Gamer,Gamer,2009-09-03,50000000,40828540,27.631262,5.6,760
Beautiful Creatures,Beautiful Creatures,2013-02-13,60000000,60052138,40.721373,5.6,984
Zoolander 2,Zoolander 2,2016-02-06,50000000,55969000,37.253774,4.7,797
The Big Bounce,The Big Bounce,2004-01-30,50000000,6808550,6.397387999999999,5.0,76
Drive Angry,Drive Angry,2011-02-24,50000000,28931401,30.387148,5.3,600
Street Fighter: The Legend of Chun-Li,Street Fighter: The Legend of Chun-Li,2009-02-27,50000000,12764201,8.139676,3.9,112
The One,The One,2001-11-02,49000000,72700000,21.746245000000002,5.7,437
The Adventures of Ford Fairlane,The Adventures of Ford Fairlane,1990-07-11,49000000,20423389,2.8084279999999997,6.2,71
The Boat That Rocked,The Boat That Rocked,2009-04-01,50000000,36348784,31.02233,7.2,666
Traffic,Traffic,2000-12-27,48000000,207515725,25.170217,6.9,562
Indiana Jones and the Last Crusade,Indiana Jones and the Last Crusade,1989-05-24,48000000,474171806,80.972475,7.6,3152
Chappie,Chappie,2015-03-04,49000000,104399548,116.700319,6.6,3062
The Bone Collector,The Bone Collector,1999-11-04,73000000,151493655,33.884459,6.5,826
Panic Room,Panic Room,2002-03-29,48000000,196397415,53.043124,6.5,1267
Three Kings,Three Kings,1999-09-27,75000000,108000000,34.973086,6.6,692
Child 44,Child 44,2015-03-15,50000000,3324330,40.371097999999996,6.1,547
Rat Race,Rat Race,2001-07-30,48000000,85498534,18.60049,6.0,518
K-PAX,K-PAX,2001-10-22,48000000,50315140,30.920075,7.1,695
Bedazzled,Bedazzled,2000-10-19,48000000,90383208,19.348007,5.6,512
The Cotton Club,The Cotton Club,1984-12-14,58000000,25928721,8.59075,6.6,68
3:10 to Yuma,3:10 to Yuma,2007-09-06,55000000,70016220,48.801089000000005,6.9,1188
Taken 3,Taken 3,2014-12-16,48000000,325771424,88.84477700000001,6.1,2200
Out of Sight,Out of Sight,1998-06-26,48000000,77745568,16.000178,6.5,333
The Cable Guy,The Cable Guy,1996-06-10,47000000,102825796,19.525659,5.7,594
Dick Tracy,Dick Tracy,1990-06-15,47000000,103738726,7.859226,5.9,251
The Thomas Crown Affair,The Thomas Crown Affair,1999-08-06,48000000,124305181,18.102572,6.6,339
Riding in Cars with Boys,Riding in Cars with Boys,2001-10-19,48000000,35743308,7.226114999999999,6.5,103
First Blood,First Blood,1982-10-22,15000000,125212904,63.071045999999996,7.2,1488
Happily N'Ever After,Happily N'Ever After,2006-09-14,47000000,38085778,10.410933,4.6,104
Mary Reilly,Mary Reilly,1996-02-23,47000000,12379402,6.0672120000000005,5.7,74
My Best Friend's Wedding,My Best Friend's Wedding,1997-06-19,38000000,299288605,15.401855,6.3,584
Insomnia,Insomnia,2002-05-24,46000000,113714830,41.322708,6.8,1148
Star Trek: First Contact,Star Trek: First Contact,1996-11-21,46000000,150000000,25.6713,7.0,661
Jonah Hex,Jonah Hex,2010-06-18,47000000,10539000,22.581313,4.4,420
Courage Under Fire,Courage Under Fire,1996-07-04,46000000,100860818,12.971122,6.2,232
Liar Liar,Liar Liar,1997-03-21,45000000,181000000,26.721386,6.4,1424
The Infiltrator,The Infiltrator,2016-07-13,25000000,15436808,24.672234,6.6,573
Inchon,Inchon,1981-05-04,46000000,5200000,0.146783,6.5,2
The Flintstones,The Flintstones,1994-05-26,46000000,341631208,28.964161999999998,5.0,543
Taken 2,Taken 2,2012-09-27,45000000,376141306,49.353524,6.1,2757
Scary Movie 3,Scary Movie 3,2003-10-24,48000000,220673217,36.585509,5.8,912
Miss Congeniality,Miss Congeniality,2000-12-14,45000000,212000000,32.624355,6.1,961
Journey to the Center of the Earth,Journey to the Center of the Earth,2008-07-10,45000000,101702060,53.090422,5.8,1309
The Princess Diaries 2: Royal Engagement,The Princess Diaries 2: Royal Engagement,2004-08-06,40000000,95149435,30.002907,6.0,697
The Pelican Brief,The Pelican Brief,1993-12-16,45000000,195268056,17.923254,6.3,371
The Client,The Client,1994-07-20,45000000,117615211,17.746719,6.4,278
The Bucket List,The Bucket List,2007-12-25,45000000,175372502,31.305335999999997,7.0,1111
Patriot Games,Patriot Games,1992-06-04,45000000,178051587,19.637704,6.3,433
Monster-in-Law,Monster-in-Law,2005-05-13,43000000,154749918,10.411996,5.6,406
Prisoners,Prisoners,2013-09-18,46000000,122126687,88.496873,7.9,3085
Training Day,Training Day,2001-10-05,45000000,104876233,52.081131,7.3,1634
Galaxy Quest,Galaxy Quest,1999-12-23,45000000,90683916,30.816340999999998,6.9,710
Scary Movie 2,Scary Movie 2,2001-07-04,45000000,141220678,35.376971000000005,5.4,982
The Muppets,The Muppets,2011-11-22,45000000,165184237,17.047276,6.5,501
Blade,Blade,1998-08-21,45000000,131183530,43.815492,6.5,1905
Coach Carter,Coach Carter,2005-01-14,30000000,76669806,23.234651,7.3,496
Changing Lanes,Changing Lanes,2002-04-07,45000000,94935764,17.270539000000003,5.9,299
Anaconda,Anaconda,1997-04-11,45000000,136885767,27.684779,4.7,610
Coyote Ugly,Coyote Ugly,2000-07-30,45000000,113916474,26.79781,5.8,575
Love Actually,Love Actually,2003-09-07,40000000,244931766,37.073127,7.0,1869
A Bug's Life,A Bug's Life,1998-11-25,120000000,363258859,87.350802,6.8,2303
From Hell,From Hell,2001-10-19,35000000,74558115,26.134678,6.6,741
The Specialist,The Specialist,1994-10-07,45000000,170362582,16.582709,5.5,313
Tin Cup,Tin Cup,1996-08-16,45000000,53854588,10.731574,5.9,150
Kicking & Screaming,Kicking & Screaming,2005-05-13,45000000,56070433,8.99269,5.6,176
The Hitchhiker's Guide to the Galaxy,The Hitchhiker's Guide to the Galaxy,2005-01-15,50000000,104478416,51.742065000000004,6.6,1315
Resident Evil: Extinction,Resident Evil: Extinction,2007-09-20,45000000,148412065,12.065380000000001,6.1,1292
Blended,Blended,2014-05-21,40000000,123494610,44.120328,6.6,1006
Last Holiday,Last Holiday,2006-01-13,45000000,38399961,6.156015,6.4,119
Savages,Savages,2012-07-06,45000000,82966152,31.856589000000003,6.2,766
Cellular,Cellular,2004-09-06,25000000,56422687,24.459948,6.1,537
Johnny English,Johnny English,2003-04-06,40000000,160583018,28.029015,6.0,852
The Ant Bully,The Ant Bully,2006-07-27,50000000,55181129,20.239061,5.5,366
Dune,Dune,1984-12-14,40000000,30925690,25.876582,6.5,562
Revolutionary Road,Revolutionary Road,2008-12-19,35000000,75225693,20.360549,6.7,796
16 Blocks,16 Blocks,2006-03-01,55000000,65664721,32.31022,6.2,661
Babylon A.D.,Babylon A.D.,2008-08-20,70000000,72108608,27.568194000000002,5.4,676
Aliens in the Attic,Aliens in the Attic,2009-07-31,45000000,57881056,13.707182999999999,5.3,244
The Pledge,The Pledge,2001-01-09,35000000,29400000,12.495436,6.5,215
The Producers,The Producers,2005-12-25,45000000,38058335,6.803965,6.1,151
The Phantom,The Phantom,1996-06-06,45000000,17300889,9.025236,4.7,136
Nixon,Nixon,1995-12-22,44000000,13681765,3.770161,7.1,71
The Ghost Writer,The Ghost Writer,2010-02-12,45000000,60222298,21.118195999999998,6.7,670
Deep Rising,Deep Rising,1998-01-30,45000000,11203026,6.513856,6.0,154
Miracle at St. Anna,Miracle at St. Anna,2008-09-15,45000000,9323833,11.387408,6.3,90
Bangkok Dangerous,Bangkok Dangerous,2008-08-21,45000000,42487390,14.813057,5.0,332
Big Trouble,Big Trouble,2002-04-05,40000000,8493890,5.201688,6.3,80
Love in the Time of Cholera,Love in the Time of Cholera,2007-10-04,45000000,4607608,5.361699,6.4,81
Shadow Conspiracy,Shadow Conspiracy,1997-01-31,45000000,2154540,3.848893,4.0,11
Johnny English Reborn,Johnny English Reborn,2011-09-15,45000000,160078586,35.6585,6.0,1007
Foodfight!,Foodfight!,2012-06-15,65000000,73706,5.258726,2.3,28
Argo,Argo,2012-10-11,44500000,232324128,62.01056,7.1,3423
The Fugitive,The Fugitive,1993-08-06,44000000,368875760,54.884297,7.2,1220
The Bounty Hunter,The Bounty Hunter,2010-03-16,40000000,136000000,33.747825,5.5,858
Sleepers,Sleepers,1996-10-18,44000000,165615285,16.245068,7.3,715
Rambo: First Blood Part II,Rambo: First Blood Part II,1985-05-21,44000000,300400432,38.653969000000004,6.3,864
Pinocchio,Pinocchio,1940-02-23,2600000,84300000,46.007991,6.9,1355
Heaven's Gate,Heaven's Gate,1980-11-19,44000000,3484331,5.3801239999999995,6.4,55
Underworld: Evolution,Underworld: Evolution,2006-01-12,50000000,111340801,49.020045,6.4,1528
Victor Frankenstein,Victor Frankenstein,2015-11-10,40000000,34227298,24.821138,5.6,685
Finding Forrester,Finding Forrester,2000-12-21,43000000,80049764,19.043286,7.0,302
Unleashed,Unleashed,2005-02-02,45000000,50871113,25.999888000000002,6.6,518
The Sweetest Thing,The Sweetest Thing,2002-04-12,43000000,68696770,18.65632,5.3,280
The Firm,The Firm,1993-06-30,42000000,270248367,23.736535,6.6,501
Charlie St. Cloud,Charlie St. Cloud,2010-05-01,44000000,48190704,21.75433,6.8,566
The Mechanic,The Mechanic,2011-01-13,40000000,51070807,44.094856,6.3,1045
21 Jump Street,21 Jump Street,2012-03-12,42000000,201585328,62.714026000000004,6.7,4074
Notting Hill,Notting Hill,1999-05-13,42000000,363889678,28.969151,7.0,1262
Chicken Run,Chicken Run,2000-06-21,45000000,224834564,31.789029,6.5,1150
Along Came Polly,Along Came Polly,2004-01-16,42000000,171963386,33.238296000000005,5.8,773
Boomerang,Boomerang,1992-06-30,40000000,70100000,6.420433999999999,5.4,134
The Heat,The Heat,2013-06-27,43000000,158674180,37.654688,6.5,1575
